"path","text","metadata_json"
"AAS/KUKA_KR150_R2700_2","KR 150 R2700- 2 (ID: KUKA_KR150_R2700_2) 是一款由 KUKA 生产的工业机器人。 其最大臂展为 2701mm。 其额定负载为 150kg。 其重量为 1072kg。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 0}"
"AAS/KUKA_KR150_R2700_2/Submodel/DigitalNameplate","'数字铭牌' (DigitalNameplate) 是一个子模型，描述了 '机器人的数字铭牌信息，包含制造商和型号等基本信息。'。它包含的属性例如：Manufacturer、Model 等。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 1, ""id_short"": ""DigitalNameplate"", ""displayName"": ""数字铭牌"", ""submodel"": ""DigitalNameplate""}"
"AAS/KUKA_KR150_R2700_2/Submodel/DigitalNameplate/Element/Manufacturer","属性 'Manufacturer' (Manufacturer) 的值为 'KUKA'。含义：机器人制造商的名称。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""Manufacturer"", ""displayName"": ""Manufacturer""}"
"AAS/KUKA_KR150_R2700_2/Submodel/DigitalNameplate/Element/Model","属性 'Model' (Model) 的值为 'KR 150 R2700- 2'。含义：机器人的型号名称。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""Model"", ""displayName"": ""Model""}"
"AAS/KUKA_KR150_R2700_2/Submodel/TechnicalData","'技术数据' (TechnicalData) 是一个子模型，描述了 '机器人的技术规格参数。'。它包含的属性例如：最大臂展、额定负载、最大负载 等。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 1, ""id_short"": ""TechnicalData"", ""displayName"": ""技术数据"", ""submodel"": ""TechnicalData""}"
"AAS/KUKA_KR150_R2700_2/Submodel/TechnicalData/Element/MaxReach","参数 '最大臂展' (MaxReach) 包含以下细节：数值为 2701, 单位为 mm。含义：机器人手臂可以达到的最大距离。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""MaxReach"", ""displayName"": ""最大臂展""}"
"AAS/KUKA_KR150_R2700_2/Submodel/TechnicalData/Element/RatedLoad","参数 '额定负载' (RatedLoad) 包含以下细节：数值为 150, 单位为 kg。含义：机器人设计的标准工作负载能力。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""RatedLoad"", ""displayName"": ""额定负载""}"
"AAS/KUKA_KR150_R2700_2/Submodel/TechnicalData/Element/MaxLoad","参数 '最大负载' (MaxLoad) 包含以下细节：数值为 218, 单位为 kg。含义：机器人可以安全承载的最大负载。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""MaxLoad"", ""displayName"": ""最大负载""}"
"AAS/KUKA_KR150_R2700_2/Submodel/TechnicalData/Element/RatedAdditionalLoads","'转盘/大臂/小臂的最大附加负载' (RatedAdditionalLoads) 是一个属性集合，描述了 '机器人主要部件上允许的最大附加负载。'。它包含的子部分例如：转盘、大臂、小臂 等。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""RatedAdditionalLoads"", ""displayName"": ""转盘/大臂/小臂的最大附加负载""}"
"AAS/KUKA_KR150_R2700_2/Submodel/TechnicalData/Element/RatedAdditionalLoads/Element/Turntable","参数 '转盘' (Turntable) 包含以下细节：数值为 300, 单位为 kg。含义：转盘的最大附加负载。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""Turntable"", ""displayName"": ""转盘""}"
"AAS/KUKA_KR150_R2700_2/Submodel/TechnicalData/Element/RatedAdditionalLoads/Element/MainArm","参数 '大臂' (MainArm) 包含以下细节：数值为 130, 单位为 kg。含义：大臂的最大附加负载。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""MainArm"", ""displayName"": ""大臂""}"
"AAS/KUKA_KR150_R2700_2/Submodel/TechnicalData/Element/RatedAdditionalLoads/Element/LinkArm","参数 '小臂' (LinkArm) 包含以下细节：数值为 150, 单位为 kg。含义：小臂的最大附加负载。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""LinkArm"", ""displayName"": ""小臂""}"
"AAS/KUKA_KR150_R2700_2/Submodel/TechnicalData/Element/PoseRepeatability","参数 '位姿重复精度 (ISO 9283)' (PoseRepeatability) 包含以下细节：最小值为 -0.05, 最大值为 0.05, 单位为 mm。含义：根据ISO 9283标准测量的位姿重复精度。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""PoseRepeatability"", ""displayName"": ""位姿重复精度 (ISO 9283)""}"
"AAS/KUKA_KR150_R2700_2/Submodel/TechnicalData/Element/AxisCount","属性 '轴数' (AxisCount) 的值为 '6'。含义：机器人拥有的运动轴数量。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""AxisCount"", ""displayName"": ""轴数""}"
"AAS/KUKA_KR150_R2700_2/Submodel/TechnicalData/Element/InstallationPosition","属性 '安装位置' (InstallationPosition) 的值为 '地面'。含义：机器人的标准安装位置。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""InstallationPosition"", ""displayName"": ""安装位置""}"
"AAS/KUKA_KR150_R2700_2/Submodel/TechnicalData/Element/Footprint","参数 '占地面积' (Footprint) 包含以下细节：长度为 754, 宽度为 754, 单位为 mm。含义：机器人安装所需的空间尺寸。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""Footprint"", ""displayName"": ""占地面积""}"
"AAS/KUKA_KR150_R2700_2/Submodel/TechnicalData/Element/Weight","参数 '重量' (Weight) 包含以下细节：数值为 1072, 单位为 kg。含义：机器人的总重量。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""Weight"", ""displayName"": ""重量""}"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData","'轴数据' (AxisData) 是一个子模型，描述了 '机器人各轴的运动参数和性能数据。'。它包含的属性例如：运动范围、额定负载时的速度 等。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 1, ""id_short"": ""AxisData"", ""displayName"": ""轴数据"", ""submodel"": ""AxisData""}"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData/Element/MotionRange","'运动范围' (MotionRange) 是一个属性集合，描述了 '各轴的运动角度范围。'。它包含的子部分例如：A1、A2、A3 等。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""MotionRange"", ""displayName"": ""运动范围""}"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData/Element/MotionRange/Element/A1","参数 'A1' (A1) 包含以下细节：最小值为 -185, 最大值为 185, 单位为 °。含义：第一轴的运动范围。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""A1"", ""displayName"": ""A1""}"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData/Element/MotionRange/Element/A2","参数 'A2' (A2) 包含以下细节：最小值为 -140, 最大值为 -5, 单位为 °。含义：第二轴的运动范围。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""A2"", ""displayName"": ""A2""}"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData/Element/MotionRange/Element/A3","参数 'A3' (A3) 包含以下细节：最小值为 -120, 最大值为 168, 单位为 °。含义：第三轴的运动范围。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""A3"", ""displayName"": ""A3""}"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData/Element/MotionRange/Element/A4","参数 'A4' (A4) 包含以下细节：最小值为 -350, 最大值为 350, 单位为 °。含义：第四轴的运动范围。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""A4"", ""displayName"": ""A4""}"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData/Element/MotionRange/Element/A5","参数 'A5' (A5) 包含以下细节：最小值为 -125, 最大值为 125, 单位为 °。含义：第五轴的运动范围。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""A5"", ""displayName"": ""A5""}"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData/Element/MotionRange/Element/A6","参数 'A6' (A6) 包含以下细节：最小值为 -350, 最大值为 350, 单位为 °。含义：第六轴的运动范围。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""A6"", ""displayName"": ""A6""}"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData/Element/SpeedAtRatedLoad","'额定负载时的速度' (SpeedAtRatedLoad) 是一个属性集合，描述了 '各轴在额定负载情况下的最大运行速度。'。它包含的子部分例如：A1、A2、A3 等。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 2, ""id_short"": ""SpeedAtRatedLoad"", ""displayName"": ""额定负载时的速度""}"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData/Element/SpeedAtRatedLoad/Element/A1","参数 'A1' (A1) 包含以下细节：数值为 120, 单位为 °/s。含义：第一轴在额定负载下的运动速度。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""A1"", ""displayName"": ""A1""}"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData/Element/SpeedAtRatedLoad/Element/A2","参数 'A2' (A2) 包含以下细节：数值为 115, 单位为 °/s。含义：第二轴在额定负载下的运动速度。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""A2"", ""displayName"": ""A2""}"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData/Element/SpeedAtRatedLoad/Element/A3","参数 'A3' (A3) 包含以下细节：数值为 120, 单位为 °/s。含义：第三轴在额定负载下的运动速度。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""A3"", ""displayName"": ""A3""}"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData/Element/SpeedAtRatedLoad/Element/A4","参数 'A4' (A4) 包含以下细节：数值为 190, 单位为 °/s。含义：第四轴在额定负载下的运动速度。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""A4"", ""displayName"": ""A4""}"
"AAS/KUKA_KR150_R2700_2/Submodel/AxisData/Element/SpeedAtRatedLoad/Element/A5","参数 'A5' (A5) 包含以下细节：数值为 180, 单位为 °/s。含义：第五轴在额定负载下的运动速度。","{""model_id"": ""KUKA_KR150_R2700_2"", ""level"": 3, ""id_short"": ""A5"", ""displayName"": ""A5""}"
